month_day,engagement_ratio,hashtags
April-1,-3.933845566965944,#NYUAD2025
April-2,-4.471151301940413,"#VirtualYale, #handsomedan, #yale"
April-3,-4.57801444748278,#Yale
April-4,-4.591105039976548,#Harvard
April-5,-4.495254256778178,#Yale
April-6,-4.125088516143861,#Yale
April-7,-4.388793699616117,#Yale
April-8,-4.366753217706767,#NationalLibraryWeek
April-9,-4.809108912339655,"#Jeopardy, #yale"
April-10,-4.190709766847723,"#HarvardInSpring, #Harvard"
April-11,-4.5390924448977685,#Yale
April-12,-4.497981221313194,#Yale
April-13,-4.266250230941513,"#nhv, #newhaven, #cherryblossoms, #getoutsidect, #yale"
April-14,-4.398250638272677,#Harvard
April-15,-4.511197341551349,#HarvardInSpring
April-16,-4.018706854647318,#Harvard
April-17,-4.646839819181869,#Harvard
April-18,-4.245686220373268,#Harvard
April-19,-4.521815174326368,#yale
April-20,-4.44105777173388,#Harvard19
April-21,-4.335924285112594,#OurNYUAD
April-22,-4.861391734982933,#Yale
April-23,-4.527129740481568,#WorldBookDay
April-24,-4.6079159683741615,"#handsomedan, #yale"
April-25,-4.525166284751121,#OurNYUAD
April-26,-4.159933580161284,#Yale
April-27,-4.035143788614896,#NYUAD2021
April-28,-4.575060599181188,#yale
April-29,-4.6660909007260365,#Yale
April-30,-4.897247479615635,#HarvardInSpring
August-1,-5.060274416473298,"#Harvard, #HarvardinSummer"
August-2,-4.494233559212954,#Yale
August-3,-4.536613013786922,#HarvardInSummer
August-4,-4.266340479576565,#Yale
August-5,-3.9530742986389042,"#HarvardInSummer, #HarvardMed"
August-6,-4.854217401259295,"#ToniMorrison, #Yale"
August-7,-5.389007034288793,"#architecture, #Lagos, #design, #Nigeria"
August-8,-4.0571718412003985,"#Harvard, #HarvardInSummer, #InternationalCatDay"
August-9,-3.932618182403537,"#whitecoat, #Harvard"
August-10,-5.015050378809512,#Harvard
August-11,-4.438710903724057,"#Harvard, #HarvardCollege"
August-12,-4.340601198746814,#Yale
August-13,-4.6075413961543985,"#Harvard, #WhiteCoat"
August-14,-4.8336345874749025,"#Yale, #forest, #nature, #environment, #wildlife, #photography, #NewEngland"
August-15,-4.941487131049101,#takeoverthursday
August-16,-4.459603229680866,#Stanford2025
August-17,-3.794300943522584,"#COP28, #eventsinabudhabi, #abudhabilife, #abudhabi, #performingarts, #music, #dance, #theater, #theatre, #spokenword, #poetry, #film, #classof2027, #nyuad, #MyNYUAD"
August-18,-4.069459364439022,#Yale
August-19,-3.6488808874906637,#NYUAD2025
August-20,-5.088388223801207,#Yale
August-21,-3.8283493753022126,#MyNYUAD
August-22,-4.1353995393085485,#NYUSH2028
August-23,-5.091880327889029,#Harvard
August-24,-3.6255452609321903,#NYUSH2028
August-25,-4.221075457632949,"#NYUADKawader, #NYUAD, #livableplanet"
August-26,-3.8880233603877503,"#Harvard, #HSDM"
August-27,-3.907997252905392,"#mcdougalgsl, #Yale, #Yalegsas, #Yalegsas2018"
August-28,-4.08590095744059,#yale
August-29,-4.261658317232058,"#Yale, #GoBulldogs"
