name,date,followers,impressions,engagement_rate,num_videos,num_images,num_carousels
awesome_adventurer_376,2022-04-21,9596,68695,0.1197,6,1,0
awesome_adventurer_376,2022-05-08,9596,22727,0.1332,3,7,2
awesome_adventurer_376,2022-05-09,9596,79645,0.1074,4,5,4
awesome_adventurer_376,2022-05-16,9596,20033,0.1276,3,3,1
awesome_adventurer_376,2022-07-05,9596,90822,0.0528,3,10,2
awesome_adventurer_376,2022-08-17,9596,4081,0.1139,1,10,0
awesome_adventurer_376,2022-09-18,9596,62627,0.1212,4,9,3
awesome_adventurer_376,2022-12-28,9596,20873,0.1162,0,13,0
awesome_adventurer_376,2023-03-25,9596,96286,0.1084,7,4,1
awesome_adventurer_376,2023-05-30,9596,37060,0.0999,3,16,3
awesome_adventurer_376,2023-08-07,9596,67549,0.093,3,19,1
awesome_adventurer_376,2023-10-18,9596,83617,0.0616,7,18,4
awesome_artist_170,2022-02-18,37248,56168,0.0568,5,18,3
awesome_artist_170,2022-03-04,37248,2759,0.0194,7,16,0
awesome_artist_170,2022-03-25,37248,79623,0.0481,6,6,2
awesome_artist_170,2022-05-28,37248,86230,0.0897,6,7,0
awesome_artist_170,2022-06-05,37248,65077,0.11,2,17,0
awesome_artist_170,2022-12-08,37248,13175,0.0656,7,13,2
awesome_artist_170,2022-12-27,37248,53603,0.1221,2,13,1
awesome_artist_170,2023-04-14,37248,39000,0.0661,1,1,3
awesome_artist_170,2023-09-22,37248,80111,0.0239,2,0,3
awesome_artist_170,2023-10-24,37248,34719,0.1357,6,18,2
awesome_artist_170,2023-10-28,37248,91397,0.1271,0,12,4
awesome_artist_170,2023-11-20,37248,77534,0.0455,6,17,4
awesome_artist_897,2022-03-01,11105,47850,0.0137,3,9,1
awesome_artist_897,2022-04-19,11105,95848,0.1192,6,6,1
awesome_artist_897,2022-06-08,11105,31254,0.1276,3,15,2
awesome_artist_897,2022-06-11,11105,95947,0.0271,2,15,4
awesome_artist_897,2022-07-07,11105,4471,0.0384,6,8,1
awesome_artist_897,2022-07-30,11105,26122,0.0702,4,18,1
awesome_artist_897,2022-11-15,11105,91106,0.0518,0,12,0
awesome_artist_897,2023-02-10,11105,8999,0.0361,2,4,4
awesome_artist_897,2023-06-20,11105,44934,0.1255,9,5,4
awesome_artist_897,2023-08-17,11105,60792,0.0993,8,12,0
awesome_artist_897,2023-10-26,11105,27201,0.0213,0,9,4
awesome_artist_897,2023-11-01,11105,2651,0.0188,0,0,1
awesome_explorer_575,2022-01-14,25335,49766,0.0176,1,17,1
awesome_explorer_575,2022-01-22,25335,97867,0.137,1,11,3
awesome_explorer_575,2022-01-30,25335,3224,0.0628,2,12,2
awesome_explorer_575,2022-02-22,25335,81811,0.1137,7,8,4
awesome_explorer_575,2022-02-28,25335,17211,0.1195,8,8,4
